Uptake,Pro_plum,Prop2,Pump,Cost_diff,WTP
27.00068904,0.952800503,0.030837004,542.534,0.674,0.151
15.59208584,0.733102253,0.237435009,448.518,0.695,0.193
54.73963973,0.006214039,0.973302647,608.42,0.441,0.176
25.53400925,0.978494624,0.018342821,564.987,0.649,0.149
27.49286347,0.347770701,0.631847134,612.92,0.462,0.153
42.15966138,0.030313015,0.954859967,589.627,0.527,0.177
22.66955409,0.995245642,0.001584786,462.782,0.621,0.144
24.77606064,0.059974747,0.924873737,502.612,0.458,0.18
62.1419431,0.02957346,0.960758294,524.904,0.453,0.191
17.31469633,0.943859649,0.047953216,484.644,0.674,0.157
47.0420317,0.008082497,0.97826087,581.684,0.421,0.183
20.93710011,0.684794673,0.257491676,587.257,0.623,0.175
16.92095679,0.818067754,0.166875784,510.102,0.687,0.185
32.34570332,0.81148619,0.180622534,577.558,0.645,0.167
37.46431735,0.003062787,0.977794793,623.848,0.535,0.182
19.3129245,0.815587267,0.139407245,516.682,0.625,0.163
28.66423861,0.987349051,0.010350776,428.769,0.645,0.169
15.95629491,0.515702479,0.4,625.792,0.629,0.16
65.4099813,0.03554007,0.951916376,438.734,0.454,0.189
44.94536864,0.730346577,0.258664413,424.725,0.65,0.181
25.87853135,0.777548209,0.199035813,608.466,0.479,0.145
34.55064475,0.407628129,0.57568534,538.009,0.478,0.146
14.99163303,0.983361065,0.006655574,452.182,0.674,0.144
16.57643469,0.925663717,0.061946903,603.46,0.689,0.163
25.38635692,0.534296029,0.445246691,556.11,0.636,0.174
20.30711684,0.967368421,0.029473684,429.782,0.69,0.183
16.58627818,0.473429952,0.486714976,599.063,0.483,0.148
55.51727532,0.006613757,0.976851852,629.839,0.443,0.18
53.57810808,0.065819861,0.922863741,452.736,0.411,0.171
33.70410473,0.159462862,0.83004616,580.557,0.409,0.163
64.05157988,0.019198509,0.957688723,608.095,0.531,0.19
16.80283492,0.959537572,0.021194605,605.4,0.673,0.143
17.97421006,0.805743243,0.162162162,441.25,0.609,0.185
44.35475933,0.031860535,0.957318906,613.385,0.49,0.185
68.30396693,0.004142502,0.983927092,515.947,0.457,0.195
31.35151098,0.982274742,0.011816839,496.514,0.65,0.145
69.3572202,0.01314295,0.958948564,474.512,0.447,0.186
27.56176789,0.326509186,0.665091864,501.459,0.42,0.152
72.11339699,0.155829228,0.832183908,447.283,0.558,0.193
17.45250517,0.822641509,0.122641509,485.274,0.493,0.146
55.99960626,0.019650184,0.959619952,582.063,0.421,0.162
25.77025298,0.945086705,0.047687861,445.001,0.527,0.16
31.89290284,0.209810588,0.764934434,554.625,0.626,0.183
